# Top practitioners — the people whose first-person accounts clear the source bar.
# Columns: x-handle <TAB> who they are <TAB> what they shipped/operate
#
# HOW TO REACH THEM, cheapest first:
#   1. Their WRITING. Most of these people publish essays; an essay is quotable and an X post
#      often is not. WebSearch "<name> <topic>", or WebFetch their site directly.
#   2. Their TALKS. `bash scripts/yt.sh mine "<topic>"` sweeps the verified channels in
#      references/channels.tsv, several of which are where these people speak. Captions are
#      SUBSTANCE, never quotation (references/public-sources.md).
#   3. Their CODE. Several maintain repos in references/exemplars.tsv — `scripts/exemplar.sh`
#      reads it at a pinned version, which beats any description of what they believe.
#   4. Their POSTS. `WebSearch` constrained to x.com returns real post URLs plus a digest — and the
#      digest is a PARAPHRASE, useless as a quotation. A plain fetch of a post URL will hit an
#      authorization wall; that is the wall, not a bug. NEVER mint a credential or automate a login
#      to get past it (compound-v:agent-security). Where an X read API is configured, it returns
#      full verbatim text; without one, stop at the digest and mark the claim unverified.
#
# THE ROSTER IS ONE CALIBER OF PERSON: founders and CTOs who shipped AND operated the thing,
# founding engineers, AI engineers at frontier labs, and working developers at top-tier companies.
# That is the ONLY qualification. A title at a famous company is not one, and neither is an audience.
#
# NEVER RANK BY FOLLOWER COUNT — measured, twice. The single account behind a canonical
# architectural finding returned ZERO posts clearing a likes filter, while a million-follower
# account returned 75%, nearly all release news. A metric filter drops the best practitioner and
# keeps the noise. Use engagement only to make a broad query tractable, and say when you did.
#
# SEED THE PERSON, NOT THE ORG. Widening a roster with lab/vendor/company accounts pulls in
# vendor-blog posts, funding coverage and event pages — the "marketing dressed as education" class.
# A CTO writing in the first person about what broke is the channel working; the company account
# announcing a partnership is the noise it filters worst, because it carries the most engagement.
#
# EVERY HANDLE BELOW WAS VERIFIED BY READING BACK THE ACCOUNT and matching it to the person named
# in a corpus source. Six candidates were DROPPED rather than guessed, and the reason is instructive:
# `carlini` resolves to a Brazilian account with 367 followers, not the security researcher. A
# guessed handle silently harvests a stranger and every finding downstream inherits it. Re-verify a
# row before quoting it; people rename and delete accounts.
#
bcherny	Boris Cherny — creator of Claude Code, Anthropic	Claude Code itself; auto mode, /goal + /loop, the long-running-autonomy playbook
_catwu	Cat Wu — Head of Product, Claude Code & Cowork, Anthropic	Claude Code product surface; Cowork
trq212	Thariq Shihipar — Claude Code, Anthropic	Claude Agent SDK; context-engineering and harness work inside Claude Code
delba_oliveira	Delba Oliveira — Claude Code DevRel, Anthropic (ex-Vercel/Next.js)	Claude Code auto-mode docs and feedback-loop guidance; previously Next.js docs
RLanceMartin	Lance Martin — MTS, Anthropic (ex-LangChain)	Agent harness design: brain/hands session split, cost-effective harnesses
alexalbert__	Alex Albert — Research/DevRel, Anthropic	Model-capability guidance for agentic coding; tau2-bench writeups
ErikSchluntz	Erik Schluntz — Anthropic (ex-co-founder/CTO, Cobalt Robotics)	Co-author of 'Building Effective Agents', the canonical workflow-vs-agent taxonomy
amanrsanger	Aman Sanger — co-founder, Cursor (Anysphere)	Cursor; the speculative-edits 'instant apply' system at ~1000 tok/s
mntruell	Michael Truell — co-founder & CEO, Cursor (Anysphere)	Cursor and Composer — the highest-usage agentic coding product outside the labs
walden_yan	Walden Yan — co-founder, Cognition (Devin)	Devin; the 'Don't Build Multi-Agents' context-engineering position and its later revision
russelljkaplan	Russell Kaplan — President, Cognition; ex-Director of Eng, Scale AI; ex-Tesla Autopilot	Devin/Windsurf operation at scale
thorstenball	Thorsten Ball — Amp / Sourcegraph; author of 'Writing an Interpreter in Go'	Amp coding agent; the 300-line 'How to Build an Agent' teardown
dexhorthy	Dex Horthy — founder, HumanLayer; author of 12-Factor Agents	12-Factor Agents; HumanLayer; the 'software factories' benchmarking work
GeoffreyHuntley	Geoffrey Huntley — independent engineer, agent-loop practitioner	The 'Ralph Wiggum' brute-force agent loop; long-running unattended coding-agent technique
mitsuhiko	Armin Ronacher — creator of Flask/Jinja; ex-Sentry	Flask, Jinja2, Rye/uv-adjacent tooling; first-person writeups of what breaks in agent design
